timepoint: 50, count_one_third: 5, count_two_third: 20, count_max: 20
timepoint: 60, count_one_third: 20, count_two_third: 18, count_max: 14
timepoint: 70, count_one_third: 20, count_two_third: 18, count_max: 15
timepoint: 80, count_one_third: 20, count_two_third: 17, count_max: 15
timepoint: 90, count_one_third: 20, count_two_third: 18, count_max: 15
timepoint: 100, count_one_third: 20, count_two_third: 18, count_max: 14
timepoint: 2140, count_one_third: 4, count_two_third: 4, count_max: 4
timepoint: 2150, count_one_third: 20, count_two_third: 18, count_max: 14
timepoint: 2160, count_one_third: 20, count_two_third: 17, count_max: 15
timepoint: 2170, count_one_third: 19, count_two_third: 18, count_max: 14
timepoint: 51, count_one_third: 4, count_two_third: 20, count_max: 20
timepoint: 61, count_one_third: 20, count_two_third: 18, count_max: 15
timepoint: 71, count_one_third: 20, count_two_third: 17, count_max: 15
timepoint: 81, count_one_third: 20, count_two_third: 17, count_max: 15
timepoint: 91, count_one_third: 20, count_two_third: 18, count_max: 15
timepoint: 101, count_one_third: 20, count_two_third: 17, count_max: 14
timepoint: 2141, count_one_third: 19, count_two_third: 18, count_max: 14
timepoint: 2151, count_one_third: 20, count_two_third: 17, count_max: 16
timepoint: 2161, count_one_third: 20, count_two_third: 17, count_max: 15
timepoint: 2171, count_one_third: 20, count_two_third: 17, count_max: 15
timepoint: 52, count_one_third: 5, count_two_third: 20, count_max: 20
timepoint: 62, count_one_third: 20, count_two_third: 20, count_max: 13
timepoint: 72, count_one_third: 20, count_two_third: 18, count_max: 15
timepoint: 82, count_one_third: 20, count_two_third: 19, count_max: 14
timepoint: 92, count_one_third: 20, count_two_third: 17, count_max: 15
timepoint: 102, count_one_third: 5, count_two_third: 6, count_max: 3
timepoint: 2142, count_one_third: 20, count_two_third: 17, count_max: 16
timepoint: 2152, count_one_third: 19, count_two_third: 17, count_max: 15
timepoint: 2162, count_one_third: 19, count_two_third: 19, count_max: 15
timepoint: 2172, count_one_third: 19, count_two_third: 17, count_max: 15
timepoint: 53, count_one_third: 3, count_two_third: 20, count_max: 19
timepoint: 63, count_one_third: 20, count_two_third: 18, count_max: 14
timepoint: 73, count_one_third: 20, count_two_third: 18, count_max: 15
timepoint: 83, count_one_third: 20, count_two_third: 18, count_max: 14
timepoint: 93, count_one_third: 20, count_two_third: 20, count_max: 13
timepoint: 2143, count_one_third: 20, count_two_third: 19, count_max: 13
timepoint: 2153, count_one_third: 20, count_two_third: 18, count_max: 13
timepoint: 2163, count_one_third: 20, count_two_third: 18, count_max: 15
timepoint: 2173, count_one_third: 20, count_two_third: 18, count_max: 13
timepoint: 44, count_one_third: 1, count_two_third: 5, count_max: 9
timepoint: 54, count_one_third: 4, count_two_third: 20, count_max: 20
timepoint: 64, count_one_third: 19, count_two_third: 20, count_max: 13
timepoint: 74, count_one_third: 20, count_two_third: 18, count_max: 15
timepoint: 84, count_one_third: 20, count_two_third: 19, count_max: 14
timepoint: 94, count_one_third: 20, count_two_third: 16, count_max: 16
