timepoint: 2160, count_one_third: 34, count_two_third: 20, count_max: 21
timepoint: 2165, count_one_third: 31, count_two_third: 21, count_max: 24
timepoint: 2170, count_one_third: 32, count_two_third: 18, count_max: 23
timepoint: 2175, count_one_third: 31, count_two_third: 24, count_max: 19
timepoint: 2180, count_one_third: 28, count_two_third: 18, count_max: 28
timepoint: 2161, count_one_third: 30, count_two_third: 20, count_max: 27
timepoint: 2166, count_one_third: 31, count_two_third: 20, count_max: 23
timepoint: 2171, count_one_third: 29, count_two_third: 22, count_max: 22
timepoint: 2176, count_one_third: 31, count_two_third: 21, count_max: 24
timepoint: 2181, count_one_third: 33, count_two_third: 24, count_max: 17
timepoint: 2157, count_one_third: 21, count_two_third: 20, count_max: 20
timepoint: 2162, count_one_third: 29, count_two_third: 25, count_max: 18
timepoint: 2167, count_one_third: 30, count_two_third: 22, count_max: 21
timepoint: 2172, count_one_third: 29, count_two_third: 21, count_max: 22
timepoint: 2177, count_one_third: 29, count_two_third: 24, count_max: 21
timepoint: 2158, count_one_third: 30, count_two_third: 22, count_max: 21
timepoint: 2163, count_one_third: 32, count_two_third: 19, count_max: 19
timepoint: 2168, count_one_third: 30, count_two_third: 22, count_max: 22
timepoint: 2173, count_one_third: 32, count_two_third: 26, count_max: 19
timepoint: 2178, count_one_third: 31, count_two_third: 19, count_max: 20
timepoint: 2159, count_one_third: 28, count_two_third: 23, count_max: 22
timepoint: 2164, count_one_third: 28, count_two_third: 22, count_max: 24
timepoint: 2169, count_one_third: 32, count_two_third: 19, count_max: 22
timepoint: 2174, count_one_third: 30, count_two_third: 18, count_max: 23
timepoint: 2179, count_one_third: 33, count_two_third: 25, count_max: 18
mean_level_3: 2100, mean_level_2: 2100, mean_level_1: 3000
