timepoint: 70, count_one_third: 36, count_two_third: 21, count_max: 19
timepoint: 75, count_one_third: 32, count_two_third: 22, count_max: 22
timepoint: 80, count_one_third: 32, count_two_third: 22, count_max: 23
timepoint: 85, count_one_third: 33, count_two_third: 20, count_max: 22
timepoint: 90, count_one_third: 30, count_two_third: 22, count_max: 21
timepoint: 71, count_one_third: 32, count_two_third: 20, count_max: 22
timepoint: 76, count_one_third: 31, count_two_third: 20, count_max: 23
timepoint: 81, count_one_third: 31, count_two_third: 19, count_max: 24
timepoint: 86, count_one_third: 32, count_two_third: 19, count_max: 21
timepoint: 91, count_one_third: 33, count_two_third: 18, count_max: 23
timepoint: 72, count_one_third: 32, count_two_third: 20, count_max: 23
timepoint: 77, count_one_third: 31, count_two_third: 21, count_max: 22
timepoint: 82, count_one_third: 35, count_two_third: 19, count_max: 21
timepoint: 87, count_one_third: 30, count_two_third: 20, count_max: 26
timepoint: 92, count_one_third: 31, count_two_third: 21, count_max: 23
timepoint: 73, count_one_third: 33, count_two_third: 19, count_max: 23
timepoint: 78, count_one_third: 33, count_two_third: 19, count_max: 21
timepoint: 83, count_one_third: 31, count_two_third: 21, count_max: 22
timepoint: 88, count_one_third: 33, count_two_third: 21, count_max: 19
timepoint: 93, count_one_third: 31, count_two_third: 20, count_max: 22
timepoint: 69, count_one_third: 12, count_two_third: 14, count_max: 13
timepoint: 74, count_one_third: 31, count_two_third: 20, count_max: 22
timepoint: 79, count_one_third: 31, count_two_third: 19, count_max: 23
timepoint: 84, count_one_third: 30, count_two_third: 21, count_max: 23
timepoint: 89, count_one_third: 31, count_two_third: 21, count_max: 24
mean_level_3: 2100, mean_level_2: 1900, mean_level_1: 3100

